template_id,title,short_title, url_slug
urn:aaid:sc:VA6C2:5b1ec2f6-675c-4240-88d5-872189954802,Beige Illustrative Flower Wedding Business Card,beige-illustrative-flower-wedding-business-card
urn:aaid:sc:VA6C2:090255f8-0739-579b-8aab-56b32bebb19f,Orange And Yellow Fast Food Hoodie | Adobe Express,Orange And Yellow Fast Food Hoodie,orange-and-yellow-fast-food-hoodie
urn:aaid:sc:VA6C2:f102963e-3980-586a-a641-ce2488d794bd,Green Gift and Packaging Square Sticker | Adobe Express,Green Gift and Packaging Square Sticker,green-gift-and-packaging-square-sticker
